Key,Key,search,Results,search_rescaled,x,y
overlays,overlays,1820,175.9631868,4.421199166072889,19.278905868530273,-35.75811767578125
orange,orange,2072,146.2570696,4.6872113582983665,16.099876403808594,-50.62712478637695
moon,moon,1825,81.95216376,4.426477185759903,8.983031272888184,78.75753021240234
gucci,gucci,1926,68.93488993,4.5330931834375745,-3.5337576866149902,-7.993750095367432
space,space,1803,131.30659740000002,4.403253899137043,12.43034839630127,71.1817626953125
lips,lips,1668,114.97062350000002,4.2607473675876815,63.32973098754883,-16.852365493774414
eye,eye,1673,107.3882284,4.266025387274695,64.6097640991211,-13.770966529846191
blush,blush,1594,65.69850949,4.182632676219882,9.226542472839355,23.719715118408203
hat,hat,1584,192.633072,4.172076636845855,48.410888671875,-62.079036712646484
daddy,daddy,1563,126.36986759999999,4.149908954160399,-34.282379150390625,68.66606903076172
grunge,grunge,1533,199.78876599999998,4.118240836038319,-57.644874572753906,25.359840393066406
meme,meme,1479,165.5835024,4.061238223418574,-82.13134765625,16.527324676513672
anime,anime,1741,357.40225330000004,4.337806455018077,-80.18556213378906,5.755783557891846
neon,neon,1639,226.6540452,4.230134853403003,-13.697879791259766,-24.761247634887695
weed,weed,1401,123.8210228,3.978901116301164,-3.6273438930511475,-20.489517211914062
makeup,makeup,1406,219.81380240000001,3.9841791359881773,45.22523880004883,-43.352928161621094
gold,gold,1615,199.96854330000002,4.204800358905339,18.076963424682617,-73.41666412353516
tree,tree,1359,137.29388219999998,3.934565750930251,-0.13543593883514404,-52.35564422607422
leaves,leaves,1257,89.37231504,3.826894149315177,35.121246337890625,22.15492820739746
family,family,1311,127.8131701,3.8838967619349223,-39.34857940673828,61.27814483642578
clouds,clouds,1193,87.07460184,3.759335497321405,45.56068420410156,-30.007230758666992
line,line,1224,105.8024018,3.792059219380888,29.726409912109375,-0.02064780332148075
angel,angel,1271,141.5761,3.8416726044388145,-34.10150909423828,31.961153030395508
unicorn,unicorn,1224,113.15515390000002,3.792059219380888,-64.28279876708984,-8.598877906799316
winter,winter,1200,124.803628,3.7667247248832236,51.931983947753906,6.0030975341796875
words,words,1161,215.31266150000002,3.725556171324519,27.045839309692383,48.826744079589844
cat,cat,1229,173.21300469999997,3.7973372390679017,-70.49771881103516,-42.007102966308594
quote,quote,1134,200.89770719999999,3.697054865014646,31.014474868774414,54.21455001831055
background,background,1155,161.6152608,3.719222547700103,-4.555078983306885,34.37868118286133
music,music,1172,122.74051010000001,3.7371678146359484,-60.205692291259766,35.68177795410156
sun,sun,1163,87.84744589,3.7276673791993247,37.602352142333984,-34.01810073852539
gun,gun,1136,99.02582117,3.6991660728894518,81.51832580566406,-21.850730895996094
birds,birds,1095,80.27853881,3.6558863114559417,-69.04389953613281,-21.924644470214844
cloud,cloud,1060,70.78207547,3.6189401736468474,45.771766662597656,-29.81228256225586
border,border,1082,191.1374405,3.642163460269707,66.8803482055664,48.891212463378906
queen,queen,1145,116.30236629999999,3.708666508326076,-29.12921142578125,49.798763275146484
halo,halo,1030,42.31165049,3.587272055524767,26.845382690429688,-50.61927795410156
lights,lights,1099,175.93275659999998,3.6601087272055524,26.775741577148438,-36.612606048583984
x,x,1003,60.63609172,3.5587707492148946,-4.064298152923584,4.319161891937256
glitch,glitch,1011,128.9178571,3.567215580714116,22.09669303894043,43.655364990234375
lines,lines,975,88.04410256,3.5292138389676193,30.197063446044922,-0.2344120889902115
snowflake,snowflake,990,70.26872152,3.5450478980286597,-0.23884332180023193,-78.57523345947266
thanks,thanks,984,71.27882252,3.5387142744042435,6.682722091674805,8.221821784973145
lit,lit,921,87.61346363,3.4722112263478744,26.232561111450195,-38.49977493286133
water,water,978,129.13736880000002,3.532380650779827,16.72114372253418,-16.157196044921875
thankful,thankful,974,69.53676906,3.528158235030217,6.214768409729004,59.81571960449219
slime,slime,894,89.18008949,3.4437099200380015,-6.466605186462402,-72.6467056274414
alien,alien,938,146.2422098,3.49015649328372,16.469682693481445,84.84501647949219
princess,princess,873,170.8923253,3.4215422373525453,-29.36471176147461,50.89431381225586
peach,peach,945,88.55287381,3.4975457208455385,-27.382431030273438,-67.49757385253906
frame,frame,894,304.3275691,3.4437099200380015,34.992794036865234,-4.038057327270508
clout,clout,916,27.76103212,3.466933206660861,45.357120513916016,12.710423469543457
kiss,kiss,828,90.85024155,3.3740400601694245,-19.436275482177734,82.45142364501953
dog,dog,877,115.5374709,3.4257646531021564,-71.71121215820312,-43.31797790527344
tears,tears,825,84.73939394,3.370873248357216,-11.771803855895996,54.65357971191406
devil,devil,942,100.98224429999999,3.4943789090333306,-36.70374298095703,26.688167572021484
light,light,833,90.48911994,3.379318079856438,28.558582305908203,-38.79686737060547
bape,bape,848,68.22839640000001,3.395152138917478,0.34630855917930603,-11.805806159973145
gang,gang,841,75.66937693,3.3877629113556593,-65.72030639648438,52.664520263671875
mask,mask,782,161.0792839,3.325482279048901,58.23078536987305,-58.510292053222656
food,food,778,142.80077119999999,3.3212598632992902,-24.025135040283203,-33.25257873535156
broken,broken,962,108.4117514,3.5154909877813845,63.08702087402344,30.347902297973633
lean,lean,791,49.37032691,3.334982714485525,23.5131778717041,-0.083753801882267
girl,girl,799,126.8807932,3.3434275459847465,-26.203218460083008,62.12384796142578
disney,disney,797,395.5050847,3.341316338109941,-37.32919692993164,4.461343765258789
text,text,797,179.4044958,3.341316338109941,25.371397018432617,57.83906936645508
bow,bow,727,126.4552957,3.267424062491753,82.42173767089844,-5.673392295837402
square,square,713,102.227209,3.2526456073681156,12.098355293273926,1.3934203386306763
freckles,freckles,705,17.03687943,3.2442007758688938,55.605674743652344,-47.64719772338867
